record_type,tour_name,destination,country,city_region,tour_type,season,recommended_for,duration_days,budget_level,hotel_category,meal_plan,faq_question,faq_answer,pre_departure_instruction,required_documents,cancellation_rule,refund_rule,change_rule,penalty_window,rag_text
знання про тур і напрям,"Пляжний+екскурсії тур: Хорватія, Спліт","Хорватія, Спліт",Хорватія,Спліт,пляжний+екскурсії,травень-вересень,природа,5,premium,4*,AI,"Що потрібно знати про харчування для туру в Хорватія, Спліт?","Для напрямку Хорватія (Спліт) менеджер має перевірити умови щодо теми 'харчування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Хорватія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний+екскурсії' додатково уточнити сезонність: травень-вересень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Хорватія, Спліт: при причині 'зміна складу туристів' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Пляжний+екскурсії тур: Хорватія, Спліт' — напрям Хорватія, Спліт. Тип туру: пляжний+екскурсії, сезон: травень-вересень, рекомендовано для: природа, тривалість 5 днів, бюджет premium, готель 4*, харчування AI. FAQ: Що потрібно знати про харчування для туру в Хорватія, Спліт? Відповідь: Для напрямку Хорватія (Спліт) менеджер має перевірити умови щодо теми 'харчування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Хорватія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний+екскурсії' додатково уточнити сезонність: травень-вересень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Хорватія, Спліт: при причині 'зміна складу туристів' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Міський тур: Австрія, Відень","Австрія, Відень",Австрія,Відень,міський,цілий рік,вікенд,6,luxury,5*,BB,"Що потрібно знати про багаж для туру в Австрія, Відень?","Для напрямку Австрія (Відень) менеджер має перевірити умови щодо теми 'багаж' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Австрія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: цілий рік.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Австрія, Відень: при причині 'зміна дат' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Міський тур: Австрія, Відень' — напрям Австрія, Відень. Тип туру: міський, сезон: цілий рік, рекомендовано для: вікенд, тривалість 6 днів, бюджет luxury, готель 5*, харчування BB. FAQ: Що потрібно знати про багаж для туру в Австрія, Відень? Відповідь: Для напрямку Австрія (Відень) менеджер має перевірити умови щодо теми 'багаж' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Австрія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: цілий рік. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Австрія, Відень: при причині 'зміна дат' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Міський тур: Німеччина, Берлін","Німеччина, Берлін",Німеччина,Берлін,міський,цілий рік,музеї та події,7,budget,3*,BB,"Що потрібно знати про віза для туру в Німеччина, Берлін?","Для напрямку Німеччина (Берлін) менеджер має перевірити умови щодо теми 'віза' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Німеччина клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: цілий рік.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Німеччина, Берлін: при причині 'відмова клієнта' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",повне повернення можливе лише до підтвердження постачальником,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Міський тур: Німеччина, Берлін' — напрям Німеччина, Берлін. Тип туру: міський, сезон: цілий рік, рекомендовано для: музеї та події, тривалість 7 днів, бюджет budget, готель 3*, харчування BB. FAQ: Що потрібно знати про віза для туру в Німеччина, Берлін? Відповідь: Для напрямку Німеччина (Берлін) менеджер має перевірити умови щодо теми 'віза' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Німеччина клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: цілий рік. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Німеччина, Берлін: при причині 'відмова клієнта' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. повне повернення можливе лише до підтвердження постачальником зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Міський тур: Польща, Краків","Польща, Краків",Польща,Краків,міський,цілий рік,короткий тур,8,standard,4*,BB,"Що потрібно знати про страхування для туру в Польща, Краків?","Для напрямку Польща (Краків) менеджер має перевірити умови щодо теми 'страхування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Польща клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: цілий рік.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Польща, Краків: при причині 'хвороба клієнта' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Міський тур: Польща, Краків' — напрям Польща, Краків. Тип туру: міський, сезон: цілий рік, рекомендовано для: короткий тур, тривалість 8 днів, бюджет standard, готель 4*, харчування BB. FAQ: Що потрібно знати про страхування для туру в Польща, Краків? Відповідь: Для напрямку Польща (Краків) менеджер має перевірити умови щодо теми 'страхування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Польща клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: цілий рік. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Польща, Краків: при причині 'хвороба клієнта' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Міський тур: Чехія, Прага","Чехія, Прага",Чехія,Прага,міський,цілий рік,вікенд,9,premium,5*,BB,"Що потрібно знати про трансфер для туру в Чехія, Прага?","Для напрямку Чехія (Прага) менеджер має перевірити умови щодо теми 'трансфер' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Чехія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: цілий рік.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Чехія, Прага: при причині 'скасування рейсу' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Міський тур: Чехія, Прага' — напрям Чехія, Прага. Тип туру: міський, сезон: цілий рік, рекомендовано для: вікенд, тривалість 9 днів, бюджет premium, готель 5*, харчування BB. FAQ: Що потрібно знати про трансфер для туру в Чехія, Прага? Відповідь: Для напрямку Чехія (Прага) менеджер має перевірити умови щодо теми 'трансфер' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Чехія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: цілий рік. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Чехія, Прага: при причині 'скасування рейсу' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Преміум тур: Швейцарія, Цюрих","Швейцарія, Цюрих",Швейцарія,Цюрих,преміум,цілий рік,преміум клієнти,10,luxury,3*,BB,"Що потрібно знати про check-in для туру в Швейцарія, Цюрих?","Для напрямку Швейцарія (Цюрих) менеджер має перевірити умови щодо теми 'check-in' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Швейцарія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'преміум' додатково уточнити сезонність: цілий рік.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Швейцарія, Цюрих: при причині 'зміна готелю' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",повне повернення можливе лише до підтвердження постачальником,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Преміум тур: Швейцарія, Цюрих' — напрям Швейцарія, Цюрих. Тип туру: преміум, сезон: цілий рік, рекомендовано для: преміум клієнти, тривалість 10 днів, бюджет luxury, готель 3*, харчування BB. FAQ: Що потрібно знати про check-in для туру в Швейцарія, Цюрих? Відповідь: Для напрямку Швейцарія (Цюрих) менеджер має перевірити умови щодо теми 'check-in' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Швейцарія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'преміум' додатково уточнити сезонність: цілий рік. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Швейцарія, Цюрих: при причині 'зміна готелю' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. повне повернення можливе лише до підтвердження постачальником зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Екзотичний пляжний тур: Мальдіви, Мале","Мальдіви, Мале",Мальдіви,Мале,екзотичний пляжний,листопад-квітень,honeymoon,11,budget,4*,AI,"Що потрібно знати про скасування для туру в Мальдіви, Мале?","Для напрямку Мальдіви (Мале) менеджер має перевірити умови щодо теми 'скасування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Мальдіви клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'екзотичний пляжний' додатково уточнити сезонність: листопад-квітень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Мальдіви, Мале: при причині 'форс-мажор' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Екзотичний пляжний тур: Мальдіви, Мале' — напрям Мальдіви, Мале. Тип туру: екзотичний пляжний, сезон: листопад-квітень, рекомендовано для: honeymoon, тривалість 11 днів, бюджет budget, готель 4*, харчування AI. FAQ: Що потрібно знати про скасування для туру в Мальдіви, Мале? Відповідь: Для напрямку Мальдіви (Мале) менеджер має перевірити умови щодо теми 'скасування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Мальдіви клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'екзотичний пляжний' додатково уточнити сезонність: листопад-квітень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Мальдіви, Мале: при причині 'форс-мажор' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Екзотичний пляжний тур: Домінікана, Пунта-Кана","Домінікана, Пунта-Кана",Домінікана,Пунта-Кана,екзотичний пляжний,грудень-квітень,all inclusive,12,standard,5*,AI,"Що потрібно знати про діти для туру в Домінікана, Пунта-Кана?","Для напрямку Домінікана (Пунта-Кана) менеджер має перевірити умови щодо теми 'діти' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Домінікана клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'екзотичний пляжний' додатково уточнити сезонність: грудень-квітень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Домінікана, Пунта-Кана: при причині 'помилка в даних' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Екзотичний пляжний тур: Домінікана, Пунта-Кана' — напрям Домінікана, Пунта-Кана. Тип туру: екзотичний пляжний, сезон: грудень-квітень, рекомендовано для: all inclusive, тривалість 12 днів, бюджет standard, готель 5*, харчування AI. FAQ: Що потрібно знати про діти для туру в Домінікана, Пунта-Кана? Відповідь: Для напрямку Домінікана (Пунта-Кана) менеджер має перевірити умови щодо теми 'діти' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Домінікана клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'екзотичний пляжний' додатково уточнити сезонність: грудень-квітень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Домінікана, Пунта-Кана: при причині 'помилка в даних' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Міський+океан тур: Португалія, Лісабон","Португалія, Лісабон",Португалія,Лісабон,міський+океан,квітень-жовтень,гастрономія,13,premium,3*,BB,"Що потрібно знати про тварини для туру в Португалія, Лісабон?","Для напрямку Португалія (Лісабон) менеджер має перевірити умови щодо теми 'тварини' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Португалія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський+океан' додатково уточнити сезонність: квітень-жовтень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Португалія, Лісабон: при причині 'відмова у візі' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",повне повернення можливе лише до підтвердження постачальником,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Міський+океан тур: Португалія, Лісабон' — напрям Португалія, Лісабон. Тип туру: міський+океан, сезон: квітень-жовтень, рекомендовано для: гастрономія, тривалість 13 днів, бюджет premium, готель 3*, харчування BB. FAQ: Що потрібно знати про тварини для туру в Португалія, Лісабон? Відповідь: Для напрямку Португалія (Лісабон) менеджер має перевірити умови щодо теми 'тварини' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Португалія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський+океан' додатково уточнити сезонність: квітень-жовтень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Португалія, Лісабон: при причині 'відмова у візі' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. повне повернення можливе лише до підтвердження постачальником зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Пляжний тур: Кіпр, Айя-Напа","Кіпр, Айя-Напа",Кіпр,Айя-Напа,пляжний,травень-жовтень,молодіжний,14,luxury,4*,AI,"Що потрібно знати про доплати для туру в Кіпр, Айя-Напа?","Для напрямку Кіпр (Айя-Напа) менеджер має перевірити умови щодо теми 'доплати' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Кіпр клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: травень-жовтень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Кіпр, Айя-Напа: при причині 'несвоєчасна оплата' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Пляжний тур: Кіпр, Айя-Напа' — напрям Кіпр, Айя-Напа. Тип туру: пляжний, сезон: травень-жовтень, рекомендовано для: молодіжний, тривалість 14 днів, бюджет luxury, готель 4*, харчування AI. FAQ: Що потрібно знати про доплати для туру в Кіпр, Айя-Напа? Відповідь: Для напрямку Кіпр (Айя-Напа) менеджер має перевірити умови щодо теми 'доплати' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Кіпр клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: травень-жовтень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Кіпр, Айя-Напа: при причині 'несвоєчасна оплата' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Пляжний тур: Болгарія, Сонячний Берег","Болгарія, Сонячний Берег",Болгарія,Сонячний Берег,пляжний,червень-вересень,бюджетний сімейний,5,budget,5*,AI,"Що потрібно знати про харчування для туру в Болгарія, Сонячний Берег?","Для напрямку Болгарія (Сонячний Берег) менеджер має перевірити умови щодо теми 'харчування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Болгарія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: червень-вересень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Болгарія, Сонячний Берег: при причині 'зміна складу туристів' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Пляжний тур: Болгарія, Сонячний Берег' — напрям Болгарія, Сонячний Берег. Тип туру: пляжний, сезон: червень-вересень, рекомендовано для: бюджетний сімейний, тривалість 5 днів, бюджет budget, готель 5*, харчування AI. FAQ: Що потрібно знати про харчування для туру в Болгарія, Сонячний Берег? Відповідь: Для напрямку Болгарія (Сонячний Берег) менеджер має перевірити умови щодо теми 'харчування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Болгарія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: червень-вересень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Болгарія, Сонячний Берег: при причині 'зміна складу туристів' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
